Label,WSJ_inflation,WaPo_inflation,LAT_inflation,NYT_inflation,USAT_inflation
1-Jan-85,54,18,32,31,0
1-Feb-85,32,9,34,22,0
1-Mar-85,43,23,26,29,0
1-Apr-85,30,20,25,14,0
1-May-85,55,19,40,29,0
1-Jun-85,42,19,22,37,0
1-Jul-85,39,23,29,21,0
1-Aug-85,32,24,25,14,0
1-Sep-85,31,11,20,20,0
1-Oct-85,40,16,16,13,0
1-Nov-85,33,12,17,14,0
1-Dec-85,41,11,23,23,0
1-Jan-86,38,16,26,21,0
1-Feb-86,49,23,24,26,0
1-Mar-86,33,18,24,40,0
1-Apr-86,33,17,19,21,0
1-May-86,35,14,22,30,0
1-Jun-86,37,18,14,28,0
1-Jul-86,28,18,16,16,0
1-Aug-86,32,17,16,15,0
1-Sep-86,50,16,21,29,0
1-Oct-86,27,9,14,18,0
1-Nov-86,22,15,16,10,0
1-Dec-86,31,17,18,12,0
1-Jan-87,38,13,20,6,0
1-Feb-87,34,15,19,10,0
1-Mar-87,31,16,18,9,0
1-Apr-87,49,26,29,21,18
1-May-87,41,21,35,18,13
1-Jun-87,46,17,37,12,17
1-Jul-87,45,14,19,17,10
1-Aug-87,44,21,16,12,9
1-Sep-87,43,20,22,9,16
1-Oct-87,53,19,36,13,13
1-Nov-87,43,13,33,9,14
1-Dec-87,63,17,39,15,14
1-Jan-88,41,14,29,9,21
1-Feb-88,37,14,21,4,8
1-Mar-88,59,14,31,7,18
1-Apr-88,61,16,32,12,16
1-May-88,86,27,43,21,18
1-Jun-88,65,25,55,18,34
1-Jul-88,64,30,55,24,38
1-Aug-88,72,28,60,21,33
1-Sep-88,50,28,52,20,22
1-Oct-88,43,16,34,13,19
1-Nov-88,52,21,44,6,13
1-Dec-88,59,21,43,11,20
1-Jan-89,64,28,56,14,22
1-Feb-89,73,32,59,29,18
1-Mar-89,105,29,64,28,36
1-Apr-89,55,27,41,19,14
1-May-89,70,14,44,17,21
1-Jun-89,61,14,40,17,12
1-Jul-89,53,22,34,16,22
1-Aug-89,41,20,25,8,12
1-Sep-89,40,15,24,6,10
1-Oct-89,40,12,26,10,8
1-Nov-89,35,10,16,9,11
1-Dec-89,44,12,34,11,19
1-Jan-90,50,11,40,10,21
1-Feb-90,34,14,29,5,13
1-Mar-90,42,26,35,11,17
1-Apr-90,54,17,32,15,21
1-May-90,48,13,34,12,11
1-Jun-90,46,12,20,4,10
1-Jul-90,41,14,27,8,9
1-Aug-90,45,24,47,15,23
1-Sep-90,28,17,31,12,14
1-Oct-90,35,19,30,7,11
1-Nov-90,27,14,35,20,17
1-Dec-90,20,9,27,15,9
1-Jan-91,16,11,21,12,9
1-Feb-91,10,11,16,14,5
1-Mar-91,21,8,11,26,13
1-Apr-91,15,18,16,13,13
1-May-91,16,15,24,13,9
1-Jun-91,19,15,17,18,9
1-Jul-91,25,12,17,18,8
1-Aug-91,20,8,19,16,11
1-Sep-91,23,16,16,16,12
1-Oct-91,16,13,13,24,2
1-Nov-91,20,10,19,16,12
1-Dec-91,18,5,14,15,9
1-Jan-92,21,16,23,14,9
1-Feb-92,20,7,18,8,3
1-Mar-92,30,9,15,17,12
1-Apr-92,20,13,16,14,5
1-May-92,16,12,20,8,12
1-Jun-92,26,8,21,21,10
1-Jul-92,23,9,15,11,4
1-Aug-92,29,12,17,10,7
1-Sep-92,31,11,26,17,9
1-Oct-92,26,11,18,10,7
1-Nov-92,14,9,16,12,7
1-Dec-92,27,12,22,14,13
1-Jan-93,20,9,18,19,11
1-Feb-93,23,11,20,9,8
1-Mar-93,18,11,31,20,11
1-Apr-93,25,11,25,24,6
1-May-93,19,21,34,31,9
1-Jun-93,36,12,29,32,8
1-Jul-93,28,15,38,35,12
1-Aug-93,26,15,18,11,5
1-Sep-93,20,11,28,27,4
1-Oct-93,21,11,18,23,6
1-Nov-93,26,11,14,15,4
1-Dec-93,33,20,30,26,10
1-Jan-94,34,22,19,49,10
1-Feb-94,26,27,36,31,15
1-Mar-94,21,18,41,56,12
1-Apr-94,27,20,28,38,15
1-May-94,31,17,48,48,15
1-Jun-94,29,14,35,28,15
1-Jul-94,25,15,37,24,12
1-Aug-94,19,18,39,30,17
1-Sep-94,26,13,30,56,16
1-Oct-94,22,24,48,33,12
1-Nov-94,27,13,38,40,19
1-Dec-94,20,26,23,25,7
1-Jan-95,23,25,33,48,8
1-Feb-95,20,15,27,23,10
1-Mar-95,14,18,30,28,11
1-Apr-95,19,10,27,22,7
1-May-95,15,20,22,29,4
1-Jun-95,12,11,20,12,4
1-Jul-95,18,10,16,21,4
1-Aug-95,13,8,11,20,6
1-Sep-95,21,18,15,14,11
1-Oct-95,18,16,14,15,5
1-Nov-95,14,13,20,15,9
1-Dec-95,14,14,15,15,5
1-Jan-96,15,12,12,15,6
1-Feb-96,25,13,14,18,10
1-Mar-96,11,12,20,10,4
1-Apr-96,11,13,15,10,6
1-May-96,23,13,37,15,13
1-Jun-96,19,11,36,27,10
1-Jul-96,32,8,23,15,8
1-Aug-96,19,10,26,17,14
1-Sep-96,23,26,35,28,23
1-Oct-96,15,27,26,14,4
1-Nov-96,20,14,10,12,1
1-Dec-96,13,29,23,26,6
1-Jan-97,23,25,26,27,5
1-Feb-97,20,23,15,27,3
1-Mar-97,25,32,22,19,2
1-Apr-97,12,27,25,22,2
1-May-97,23,26,21,20,14
1-Jun-97,20,20,15,18,6
1-Jul-97,17,19,24,25,9
1-Aug-97,24,20,21,18,4
1-Sep-97,22,20,15,17,4
1-Oct-97,16,19,24,21,3
1-Nov-97,17,4,11,20,3
1-Dec-97,11,14,9,12,4
1-Jan-98,14,19,18,22,5
1-Feb-98,9,4,12,15,4
1-Mar-98,19,19,8,18,8
1-Apr-98,12,7,18,13,2
1-May-98,15,9,19,26,7
1-Jun-98,14,4,10,13,8
1-Jul-98,15,13,18,15,3
1-Aug-98,12,8,3,14,5
1-Sep-98,15,18,12,21,8
1-Oct-98,11,9,15,11,7
1-Nov-98,9,3,7,8,6
1-Dec-98,20,6,6,9,1
1-Jan-99,10,8,11,25,3
1-Feb-99,13,9,4,17,2
1-Mar-99,20,11,15,11,2
1-Apr-99,17,6,16,16,2
1-May-99,23,19,37,33,5
1-Jun-99,31,30,23,35,8
1-Jul-99,15,18,23,30,6
1-Aug-99,15,12,23,36,9
1-Sep-99,14,18,12,36,10
1-Oct-99,22,18,29,28,5
1-Nov-99,12,8,13,25,4
1-Dec-99,10,6,15,20,7
1-Jan-00,19,12,19,29,2
1-Feb-00,18,12,21,33,5
1-Mar-00,14,8,17,30,4
1-Apr-00,13,11,12,19,4
1-May-00,24,8,20,9,3
1-Jun-00,18,15,15,17,3
1-Jul-00,12,11,12,24,3
1-Aug-00,27,12,11,24,4
1-Sep-00,15,17,7,26,4
1-Oct-00,17,14,17,22,10
1-Nov-00,12,7,7,21,3
1-Dec-00,14,8,10,19,2
1-Jan-01,16,4,7,14,5
1-Feb-01,13,9,9,18,5
1-Mar-01,11,5,7,19,1
1-Apr-01,6,2,9,20,1
1-May-01,13,8,6,17,1
1-Jun-01,7,6,6,24,1
1-Jul-01,9,4,10,14,3
1-Aug-01,19,4,4,11,8
1-Sep-01,5,2,6,8,4
1-Oct-01,9,5,8,6,3
1-Nov-01,6,3,2,9,0
1-Dec-01,7,1,7,19,0
1-Jan-02,7,5,5,11,4
1-Feb-02,10,4,2,10,4
1-Mar-02,13,11,2,16,1
1-Apr-02,10,8,7,15,5
1-May-02,18,12,4,11,5
1-Jun-02,12,10,2,11,3
